Category,Question,Answer,Source_URL,Source_Type
Graduate Admissions (MS/PhD),When are graduate admissions announced?,Graduate admissions are announced twice a year - for the Fall semester (May-June) and the Spring semester (October-November). Exact dates are posted on the GIKI website.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),How can I apply for MS or PhD admission?,"Applications must be submitted online through the GIKI Admission Portal, and a printed copy of the admission form along with required documents must also be sent to the Institute.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Is it mandatory to send the printed admission form and supporting documents?,Yes. It is mandatory to send the printed admission form along with all required supporting documents to the Graduate Admissions Office before the deadline.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What format should be used for the Letter of Recommendation?,"The prescribed GIKI format available on the admissions webpage should be used. However, a recommendation in another format already available will also be accepted.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Can students whose final semester result is still awaited apply for graduate admission?,"Yes. They may apply with a 7th semester transcript and a provisional certificate, but must submit the final degree and transcript at the time of admission.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What is the eligibility criteria for MS admission?,"A four-year BS/BE (or equivalent) degree in the relevant discipline, with a total of 16 years of education, earned with the specified grades/CGPA.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What are the eligibility criteria for PhD admission?,"A two-year MS/MPhil (or equivalent) degree in the relevant discipline, with a total of 18 years of education, earned with the specified grades/CGPA.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),"If both CGPA and percentage marks appear on the transcript, which is used for evaluation?","For semester system programs, the CGPA is considered; for annual system programs, percentage marks are used for evaluation.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Can students from intra-disciplinary (related) programs apply for graduate admission?,"Yes, candidates from related disciplines may apply; however, they must also pass a subject-type test and complete deficiency courses at the concerned faculty.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Does GIK Institute conduct its own graduate admission test?,"Yes, GIKI conducts a GRE General-type test for both MS and PhD admissions.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What is the format of the GIKI graduate admission test?,The GIKI admission test follows a format similar to the GRE General-type test.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Are candidates who already have a GRE or HAT score required to take the GIKI test?,No. Candidates who have already qualified the ETS-GRE (General) or HEC-HAT test are exempted from the GIKI admission test.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Is the NTS GAT (General) test score acceptable for graduate admission at GIKI?,"No, the NTS GAT (General) test score is not acceptable for admission at the Institute.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What is the passing score for MS and PhD admission tests?,"The minimum passing score in the GIKI Admission Test, GRE (General), or HEC HAT Test is 50% for MS admission and 60% for PhD admission.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Do all graduate applicants need to appear for an interview?,"Yes, all shortlisted candidates who qualify on any of the required tests must appear for an interview.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),How is the graduate admission interview conducted?,"It is usually conducted online via Skype; however, in some cases candidates may be called for a physical (on-campus) interview.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Is the GIKI Graduate Admission Test conducted at multiple centers?,"No, the test is conducted only at GIK Institute. Candidates who opt for the GIKI Admission Test must appear physically at GIK Institute for the test.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Can I transfer credits from another institution into a graduate program?,"After securing admission, credit transfer from another HEC-recognized and PEC-accredited institution may be allowed subject to committee approval.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What is the maximum number of graduate credits that can be transferred?,"Up to 9 credits for MS and 6 credits for PhD may be transferred, provided the courses have at least a grade B and fit within the program.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Are Graduate Assistantships available in all disciplines?,"Yes, a limited number of Graduate Assistantships are available across all disciplines of the Institute.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What is the selection criteria for the award of a Graduate Assistantship?,"Graduate Assistantships are awarded on merit, based on performance in the admission test, interview, and previous academic record.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What financial benefits are provided under the Graduate Assistantship Scheme?,"Graduate Assistants receive free hostel accommodation, a monthly stipend (Rs. 20,000 for MS and Rs. 50,000 for PhD fellows under the base scheme), and exemption from tuition fees.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Are there any charges payable at the time of graduate admission for Graduate Assistants?,"Yes, Graduate Assistants have to pay the admission fee and security deposit at the time of admission.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What duties are assigned to Graduate Assistants?,Graduate Assistants assist the faculty in teaching and research activities for up to 20 hours per week. PhD fellows may also be assigned to teach course(s).,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Is there a service obligation for Graduate Assistants after completing their degree?,"Yes, upon successful completion of degree requirements, Graduate Assistants may be asked to serve GIK Institute, if required by the Institute.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What type of service is required from MS and PhD fellows after degree completion?,"If required by the Institute, MS fellows must serve the Institute for two years and PhD fellows for five years in suitable positions, with full salary and benefits as per Institute rules.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Can Graduate Assistants take up employment elsewhere during their assistantship?,"No, fellows are not allowed to engage in employment elsewhere during their assistantship or service period without prior approval from the Institute.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Under what circumstances can a Graduate Assistant be expelled from the program?,"A fellow may be expelled for failing courses or not maintaining the required CGPA of 3.00, attendance below 75%, poor performance in courses or research, or engaging in activities detrimental to the Institute's reputation.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),What happens if an applicant applies for a Graduate Assistantship but is not selected?,"An applicant who applies for a Graduate Assistantship but is not selected due to limited positions, and who still qualifies for admission, is automatically considered under the Day Scholar scheme.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Is on-campus accommodation available for graduate Day Scholars?,"No, on-campus accommodation is provided only to Graduate Assistants. Day Scholars must arrange their own residence off-campus.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),When are classes scheduled for graduate students?,"Graduate classes are held on weekdays, Monday through Friday.",https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Why does the Institute retain original academic documents of graduate students?,To verify the authenticity of academic credentials and ensure compliance with admission policies.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),Which original documents does the Institute keep from graduate students?,Original degree certificates and transcripts submitted at the time of admission.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Graduate Admissions (MS/PhD),How can a graduate student collect their original documents after completing their studies?,By submitting a completed clearance form from all concerned departments after fulfilling all degree requirements.,https://giki.edu.pk/frequently-asked-questions-2/,Official FAQ
Alumni,Can Zakat be used to pay tuition fees for eligible students at GIKI?,"Yes. GIKI Alumni Association confirmed with a Mufti and other scholars, and obtained a written Fatwa, that Zakat funds can be used to pay tuition for higher education at an elite institute such as GIKI, provided the student is eligible to receive Zakat.",https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,How does GIKIAA verify that scholarship applicants are genuinely needy?,"Each applicant undergoes an interview (around 30 minutes on average) in addition to a review of their application and supporting documents, to confirm the genuineness of their need before sponsorship.",https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,What is the selection criteria for alumni-sponsored scholarships (academic vs need-based)?,"The candidate must be an undergraduate student who has already completed the first year of education, and must demonstrate both academic achievement and financial need.",https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,I am a senior in high school entering GIKI in the fall - can I apply for an alumni scholarship?,No. Incoming freshmen at GIKI cannot qualify for a scholarship through the Alumni Association until they are sophomores (second year) or above. Incoming freshmen are encouraged to check the official GIKI Scholarships page for other opportunities.,https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,What is the approximate cost of sponsoring one student for a year through GIKIAA?,"Tuition is roughly Rs. 300,000-350,000 depending on the applicant's batch. Messing/monthly expenses are roughly Rs. 10,000 per month. A sponsor may cover tuition alone, or tuition plus monthly expenses (roughly Rs. 360,000-450,000 total per year).",https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,Who is eligible to join the GIKI Alumni Association (GIKIAA)? Do I need to be a GIKI graduate?,"While most members are GIKI alumni, anyone interested in supporting the university and its membership benefits is welcome to join, regardless of background.",https://giki.edu.pk/alumni-faqs/,Official FAQ
Alumni,Is it possible for the GIKI Alumni Association to fund all needy applicants each year?,"The Association tracks the number of Zakat-eligible applicants each year (around 54 in one recent cycle) and asks alumni to sponsor individual students, noting that with thousands of graduates, finding enough sponsors - individually or with family/friends' support - is considered achievable.",https://giki.edu.pk/alumni-faqs/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),What is Engineering Sciences (ES) at GIK Institute?,"Engineering Sciences is a PEC-accredited multidisciplinary engineering program preparing students for modern fields such as Data Analytics, Smart Devices, Modern Instrumentation, and Communication Technologies. The first two years are similar to common engineering programs; from the third year, students choose courses according to their target career.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),What distinguishes the Engineering Sciences program from other engineering programs?,"ES allows students to choose their specialization direction after two years of common basic sciences, engineering, and computing courses. Students can then choose either the hardware side (sensors, systems - e.g. Photonics and Microelectronics) or the software/AI side (e.g. Simulation and Machine Learning) based on their developed interests.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),Is Engineering Sciences only suitable for students planning higher studies (MS/PhD)?,"No. While many GIKI graduates pursue higher studies, most graduates - including ES graduates - currently work in industry.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),Which local and international companies hire Engineering Sciences graduates?,"ES graduates find roles in Communications (Nokia, Ericsson, Huawei), Instrumentation & Control (Engro, Fatima, Dawlance), Renewable Energy (ReOn, Pantera, SkyElectric), AI/Software/Data Analytics (Afiniti, Systems, Tkxel, Motiv), Microelectronics/Embedded Systems (Microsoft, AMD), Engineering Management (Unilever, P&G, GSK, Reckitt), as well as international higher education and research/engineering positions abroad.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),Where are Engineering Sciences graduates currently working?,"Over the last twenty years, the ES program has produced 600+ graduates working across a variety of industrial, research, business, and academic ventures. As of a survey last updated May 2022 (50% response rate), 52% of ES graduates were working abroad, with the rest in Pakistan.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),In what job roles are Engineering Sciences graduates currently working?,"ES graduates show strong career growth across their chosen fields, with a range of current job titles reflected in Institute survey data (last updated May 2022, 50% response rate).",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Engineering Sciences Program (Faculty of Basic Sciences),Why is Engineering Sciences a separate program rather than part of Electrical or Computer Engineering?,"ES is built around flexibility in curriculum design so it can be updated for newly emerging, interdisciplinary engineering fields that do not fit strict conventional program boundaries - similar to models used at many Western universities. Its key feature is letting students choose their direction (hardware vs. software/AI) after two years of common foundational study.",https://giki.edu.pk/fbs/frequently-asked-questions-es/,Official FAQ
Undergraduate Eligibility Criteria,What is the basic eligibility for BS Engineering programs at GIKI?,"Candidates must meet one of: HSSC Pre-Engineering (Maths, Physics, Chemistry) with 60%+ each in Maths, Physics & Overall; HSSC ICS (Maths, Physics, Computer Studies/Science/IT) with 60%+ each; HSSC Pre-Medical with Additional Mathematics and 60%+ each; A-Level in Maths, Physics and Chemistry with D or above in Maths & Physics plus O-Level in the required subjects; American/Canadian High School Diploma or IB Diploma with Maths (Calculus), Physics and Chemistry at 60%+ per IBCC equivalence; or a 3-year DAE in a relevant technology with at least 60% each in Maths, Physics & Overall.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,"What is the eligibility criteria for AI, Computer Science, Cyber Security, Data Science, and Software Engineering programs?","HSSC with Mathematics, Physics, and any other subject as the third elective, with 60% or above marks each in Mathematics, Physics & Overall; or A-Level in Mathematics, Physics, and any other subject with D or above in Maths & Physics, plus the required O-Level subjects.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,What is the eligibility criteria for the BS Management Sciences program?,"HSSC (Pre-Engg, General Science, ICS, Pre-Medical, or Humanities) with at least 60% overall marks; or A-Level in three subjects with D or above in two principal subjects plus the required O-Level subjects with 60%+ overall per IBCC equivalence; or an American/Canadian High School Diploma or IB Diploma with 60%+ overall marks per IBCC equivalence.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,Do O-Level and A-Level qualifications need IBCC equivalence for GIKI admission?,"Yes, IBCC equivalence is required for all foreign qualifications, including O-Level and A-Level.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,How many O-Level subjects are required for local vs. international A-Level applicants?,"Local applicants need eight O-Level subjects (English, Mathematics, Physics, Chemistry, Biology/Computer Science, Urdu, Islamic Studies & Pakistan Studies); applicants from abroad need five subjects (English, Mathematics, Physics, Chemistry, Biology/Computer Science/IT).",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,How is the undergraduate merit list calculated at GIKI?,"The comparative assessment weighs the Admission Test score at 85%, and the qualifying exam (SSC/equivalent, O-Level, or last completed qualification such as High School Diploma, IB Diploma, B.Sc., or DAE) at 15%.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,"Can a candidate with Maths, Physics and Chemistry apply to any GIKI engineering program?","Yes, an applicant with a Mathematics, Physics and Chemistry/Computer Studies background can apply for all engineering programs.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,Can I apply if I am still waiting for my qualifying exam results?,"Yes, candidates awaiting results for a completed qualification may apply for provisional admission; confirmation is subject to submitting results by the date in the offer letter and meeting the eligibility criteria.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,Is a Diploma of Associate Engineering (DAE) accepted for GIKI undergraduate admission?,"Yes, a three-year DAE in a relevant technology from a Pakistani Board of Technical Education, with at least 60% marks each in Mathematics, Physics & Overall, meets the basic eligibility for BS Engineering programs.",https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
Undergraduate Eligibility Criteria,What minimum grade is required in Mathematics and Physics for A-Level applicants?,A-Level applicants need a D grade or above in each of Mathematics and Physics (the required subjects vary slightly by program).,https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/,Derived
"Fees, Expenses & Refund Policy",What is the semester/annual tuition and accommodation fee for new undergraduate students?,"For the 2025-26 freshmen intake: Engineering & Computing programs are Rs. 470,000 per semester (Rs. 940,000 per year); Management Sciences is Rs. 412,500 per semester (Rs. 825,000 per year). Fees are subject to annual revision.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",What is the annual tuition fee for foreign students at GIKI?,"The annual tuition fee for foreign students is US$ 5,000.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",Can the semester fee be paid in installments?,"No, the semester fee cannot be paid in installments; it must be paid before the commencement of the semester. However, a 5% administrative charge is waived if a student pays the full fee for two semesters in a lump sum.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",What other one-time charges apply at admission besides tuition?,"A non-refundable admission fee of Rs. 75,000 (Pakistani applicants) or US$ 680 (foreign applicants) is required at admission. Rs. 40,000 is charged as a refundable security deposit, Rs. 17,500 as a convocation fee for final-year students, and Rs. 15,000 as an advance mess security deposit.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",How can students pay their semester/annual fee at GIKI?,"Payments can be made over the counter at any HBL branch, via HBL Internet Banking/Mobile App (HBL network), or via 1-Bill Top-Up through any of the 1-Link member banks listed at 1link.net.pk/members.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",How does the 1-Bill Top-Up fee payment method work?,"Use the prescribed prefix plus your Student Registration Number as your unique bill/invoice number in your bank's online/mobile banking portal or at an ATM, select '1 Bill Top-Up', enter the amount from your fee voucher, then verify and confirm the transaction.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",What is GIKI's fee refund policy if a newly admitted student withdraws?,"Following the HEC Revised National Fee Refund Policy 2024: 100% refund up to the 10th day of classes, 80% up to the 15th day, 60% up to the 20th day, 50% up to the 30th day, and no refund from the 31st day onward.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",What happens to the tuition fee if an admitted applicant is later declared ineligible?,"If an applicant is rendered ineligible upon declaration of results, 100% of the tuition fee is refunded, provided the refund is applied for within 10 days of the result declaration along with proof of ineligibility.",https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
"Fees, Expenses & Refund Policy",Does GIKI provide free electricity units to hostel residents?,Yes. Students in the hostels get 100 free units per month in summer and 70 free units per month in winter (same allowance for male and female students).,https://giki.edu.pk/admissions/admissions-undergraduates/ugrad-fees-and-expenses/,Derived
Undergraduate Scholarships & Financial Aid,What undergraduate scholarships are available at GIKI?,"GIKI offers/facilitates 16+ scholarship schemes for the 2025-26 intake, including CMEEF (KP), CM-Honhaar (Punjab), Descon Endowment Fund, DWP+PSSF, GIK Merit Scholarship, GIK Financial Assistance for Top Female, GIK Financial Assistance, GIK Alumni Association support, Habbah Trust, ICI Scholarship, Ihsan Trust Scholarship, KPEF, Lucky Cement Scholarship, PEEF, PEL Scholarship, and Sindh Scholarship - among others.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Who is eligible for the Chief Minister Educational Endowment Fund (CMEEF) Scholarship?,"KP-domiciled students with an annual family income of less than Rs. 1,200,000; 4 seats are available, and it is fully funded.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Who is eligible for the CM-Honhaar Scholarship (Government of Punjab)?,"Punjab-domiciled students with an annual family income of less than Rs. 500,000; 15 seats are available, and it is fully funded.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the Descon Endowment Fund scholarship at GIKI?,"A fully funded scholarship (1 seat) for a student eligible for GIKI Financial Assistance from a rural area, applied for after admission (October/November).",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the DWP + PSSF scholarship at GIKI?,"A fully funded scholarship (10 seats) for KP-domiciled students with an annual family income of less than Rs. 840,000, applied for after getting admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,How does the GIK Merit Scholarship work?,"It is fully funded (20 seats) for the top 18 positions in the admission test for Engineering, and the top 2 positions for Management Sciences; awarded at the time of admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Is there a scholarship specifically for top-performing female applicants?,"Yes, the GIK Financial Assistance for Top Female scholarship is fully funded (10 seats): top 7 female Engineering applicants and top 3 female Management applicants can apply at the time of admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the GIK Financial Assistance scholarship (need-cum-merit)?,A fully or partially funded scholarship (40 seats) awarded on a need-cum-merit basis; applicants can apply at the time of admission.,https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Does the GIK Alumni Association offer financial support to students?,"Yes, fully or partially funded support (30 seats) is available for needy students from second year onward, applied for after one year of admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the Habbah Trust scholarship?,"A partially funded, need-based scholarship (4 seats), applied for at admission, after result announcement, and again after one year.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the ICI Scholarship at GIKI?,"A fully funded scholarship (1 seat) for a top female student, applied for after admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What does the Ihsan Trust Scholarship cover?,"A need-based scholarship (40 seats) that partially covers the tuition fee, applied for at admission, after result announcement, and again after one year.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Who is eligible for the Khyber Pakhtunkhwa Education Foundation Scholarship (KPEF)?,"KP-domiciled students with an annual family income of less than Rs. 1,920,000; 2 seats, fully funded, applied for after getting admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the Lucky Cement Scholarship at GIKI?,"A fully funded scholarship (1 seat) for Pakistani nationals, with preference given to KP domicile holders, applied for after admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the Punjab Educational Endowment Fund (PEEF) Scholarship?,"A fully funded scholarship (10 seats) for Punjab-domiciled students with an annual family income of less than Rs. 720,000, applied for at the time of admission only.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the eligibility for the PEEF scholarship in detail?,"Punjab domicile; at least 60% marks (first division) in Intermediate, enrolled in the same year the exam was passed; passed via a Punjab or Federal Board (government, private candidate, or affiliated private institution); and annual household family income not exceeding Rs. 720,000, along with meeting GIKI's own financial aid criteria.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,What is the PEL Scholarship at GIKI?,"A fully funded, merit-cum-need scholarship (1 seat) for a student admitted to the Faculty of Electrical Engineering (FEE), applied for after admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,Who is eligible for the Sindh Scholarship?,"Sindh-domiciled students with an annual family income of less than Rs. 1,200,000; 5 seats, fully funded, applied for after getting admission.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
Undergraduate Scholarships & Financial Aid,How does the Financial Aid/Interest-Free Loan program work at GIKI?,"GIKI provides liberal financial assistance covering full or partial tuition fee as an interest-free loan to about 40-50 needy students each year. Applicants submit the financial assistance form with the admission form (Rs. 1,000 processing fee in addition to the Rs. 3,500 admission processing fee) and are informed of the outcome along with their admission offer.",https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa/,Derived
